[stage1] epoch 1/50 step 64 | loss 2.9472 | w [15.0, 8.0, 1.0] | train det 0.0415 seg 0.0944 cnt 1.5705
[stage1] epoch 1/50 step 65 | loss 2.6686 | w [15.0, 8.0, 1.0] | train det 0.0440 seg 0.0922 cnt 1.2704
[stage1] epoch 1/50 step 66 | loss 2.7696 | w [15.0, 8.0, 1.0] | train det 0.0233 seg 0.0828 cnt 1.7576
[stage1] epoch 1/50 step 67 | loss 2.4114 | w [15.0, 8.0, 1.0] | train det 0.0325 seg 0.1028 cnt 1.1010
[stage1] epoch 1/50 step 68 | loss 4.7254 | w [15.0, 8.0, 1.0] | train det 0.1860 seg 0.0864 cnt 1.2443
[stage1] epoch 1/50 step 69 | loss 4.7127 | w [15.0, 8.0, 1.0] | train det 0.1098 seg 0.2016 cnt 1.4527
[stage1] epoch 1/50 step 70 | loss 2.2835 | w [15.0, 8.0, 1.0] | train det 0.0321 seg 0.1279 cnt 0.7787
[stage1] epoch 1/50 step 71 | loss 2.6701 | w [15.0, 8.0, 1.0] | train det 0.0468 seg 0.0582 cnt 1.5022
[stage1] epoch 1/50 step 72 | loss 2.8394 | w [15.0, 8.0, 1.0] | train det 0.0242 seg 0.1488 cnt 1.2868
[stage1] epoch 1/50 step 73 | loss 3.0517 | w [15.0, 8.0, 1.0] | train det 0.0680 seg 0.1116 cnt 1.1384
[stage1] epoch 1/50 step 74 | loss 1.9597 | w [15.0, 8.0, 1.0] | train det 0.0285 seg 0.0863 cnt 0.8426
[stage1] epoch 1/50 step 75 | loss 5.5341 | w [15.0, 8.0, 1.0] | train det 0.2531 seg 0.1110 cnt 0.8495
[stage1] epoch 1/50 step 76 | loss 3.3775 | w [15.0, 8.0, 1.0] | train det 0.0731 seg 0.1338 cnt 1.2110
[stage1] epoch 1/50 step 77 | loss 2.9825 | w [15.0, 8.0, 1.0] | train det 0.0911 seg 0.0741 cnt 1.0222
[stage1] epoch 1/50 step 78 | loss 2.8730 | w [15.0, 8.0, 1.0] | train det 0.0769 seg 0.0586 cnt 1.2511
[stage1] epoch 1/50 step 79 | loss 1.9812 | w [15.0, 8.0, 1.0] | train det 0.0307 seg 0.1018 cnt 0.7069
[stage1] epoch 1/50 step 80 | loss 2.8380 | w [15.0, 8.0, 1.0] | train det 0.0281 seg 0.1053 cnt 1.5735
[stage1] epoch 1/50 step 81 | loss 3.4371 | w [15.0, 8.0, 1.0] | train det 0.0637 seg 0.0707 cnt 1.9160
[stage1] epoch 1/50 step 82 | loss 6.0017 | w [15.0, 8.0, 1.0] | train det 0.2886 seg 0.0883 cnt 0.9664
[stage1] epoch 1/50 step 83 | loss 4.2251 | w [15.0, 8.0, 1.0] | train det 0.0612 seg 0.0942 cnt 2.5529
[stage1] epoch 1/50 step 84 | loss 1.9251 | w [15.0, 8.0, 1.0] | train det 0.0159 seg 0.0700 cnt 1.1260
[stage1] epoch 1/50 step 85 | loss 2.1473 | w [15.0, 8.0, 1.0] | train det 0.0327 seg 0.0921 cnt 0.9203
[stage1] epoch 1/50 step 86 | loss 3.5746 | w [15.0, 8.0, 1.0] | train det 0.0329 seg 0.1018 cnt 2.2663
[stage1] epoch 1/50 step 87 | loss 3.3557 | w [15.0, 8.0, 1.0] | train det 0.0845 seg 0.0874 cnt 1.3886
[stage1] epoch 1/50 step 88 | loss 3.8865 | w [15.0, 8.0, 1.0] | train det 0.0629 seg 0.1015 cnt 2.1314
[stage1] epoch 1/50 step 89 | loss 4.0319 | w [15.0, 8.0, 1.0] | train det 0.1289 seg 0.0178 cnt 1.9564
[stage1] epoch 1/50 step 90 | loss 3.2993 | w [15.0, 8.0, 1.0] | train det 0.0197 seg 0.1813 cnt 1.5523
[stage1] epoch 1/50 step 91 | loss 3.3187 | w [15.0, 8.0, 1.0] | train det 0.0570 seg 0.1146 cnt 1.5475
[stage1] epoch 1/50 step 92 | loss 2.7021 | w [15.0, 8.0, 1.0] | train det 0.0611 seg 0.1018 cnt 0.9711
[stage1] epoch 1/50 step 93 | loss 3.4224 | w [15.0, 8.0, 1.0] | train det 0.0389 seg 0.1297 cnt 1.8007
[stage1] epoch 1/50 step 94 | loss 3.0312 | w [15.0, 8.0, 1.0] | train det 0.0380 seg 0.0606 cnt 1.9767
[stage1] epoch 1/50 step 95 | loss 4.0065 | w [15.0, 8.0, 1.0] | train det 0.0815 seg 0.1201 cnt 1.8229
[stage1] epoch 1/50 step 96 | loss 2.2595 | w [15.0, 8.0, 1.0] | train det 0.0284 seg 0.0567 cnt 1.3796
[stage1] epoch 1/50 step 97 | loss 2.4567 | w [15.0, 8.0, 1.0] | train det 0.0232 seg 0.1014 cnt 1.2972
