swanlab: swanlab version 0.7.15 is available!  Upgrade: `pip install -U swanlab`
swanlab: Tracking run with swanlab version 0.7.14
swanlab: Run data will be saved locally in 
/data/xiangyuyue/ULLM-zf/fsl-20260209/runs/115_mainonly_10per/swanlog/run-20260412_165611-ipkubxipwutocey6s4wf
c
swanlab: 👋 Hi blacknwhit,welcome to swanlab!
swanlab: Syncing run 115_mainonly_10per to the cloud
swanlab: 🏠 View project at https://swanlab.cn/@blacknwhit/115_grpo_mainonly
swanlab: 🚀 View run at https://swanlab.cn/@blacknwhit/115_grpo_mainonly/runs/ipkubxipwutocey6s4wfc
[train] Backbone params: 0
[train] LoRA-MoE params: 6561792
[train] Det head params: 14875060
[train] Seg head params: 9451531
[train] Cnt head params: 9448456
[main] epoch 1/150 step 39 | loss 71431.0861 | w [15.0, 8.0, 1.0] | train det 0.8287 seg 0.5341 cnt 71414.3828 | pairs det_seg 0 det_cnt 0 seg_cnt 0
[main] epoch 1/150 step 40 | loss 72363.1432 | w [15.0, 8.0, 1.0] | train det 0.7688 seg 0.9700 cnt 72343.8516 | pairs det_seg 0 det_cnt 0 seg_cnt 0
[main] epoch 1/150 step 41 | loss 67967.3187 | w [15.0, 8.0, 1.0] | train det 0.7366 seg 1.1285 cnt 67947.2422 | pairs det_seg 0 det_cnt 0 seg_cnt 0
[main] epoch 1/150 step 42 | loss 66577.0031 | w [15.0, 8.0, 1.0] | train det 0.8218 seg 1.4498 cnt 66553.0781 | pairs det_seg 0 det_cnt 0 seg_cnt 0
[main] epoch 1/150 step 43 | loss 56135.5505 | w [15.0, 8.0, 1.0] | train det 0.4915 seg 0.8308 cnt 56121.5312 | pairs det_seg 0 det_cnt 0 seg_cnt 0
[main] epoch 1/150 step 44 | loss 63464.6193 | w [15.0, 8.0, 1.0] | train det 0.7478 seg 0.8482 cnt 63446.6172 | pairs det_seg 0 det_cnt 0 seg_cnt 0
[main] epoch 1/150 step 45 | loss 47711.3530 | w [15.0, 8.0, 1.0] | train det 0.4264 seg 0.5953 cnt 47700.1953 | pairs det_seg 0 det_cnt 0 seg_cnt 0
[main] epoch 1/150 step 46 | loss 46367.6254 | w [15.0, 8.0, 1.0] | train det 0.5406 seg 1.3291 cnt 46348.8828 | pairs det_seg 0 det_cnt 0 seg_cnt 0
[main] epoch 1/150 step 47 | loss 43641.6500 | w [15.0, 8.0, 1.0] | train det 0.5969 seg 1.2204 cnt 43622.9336 | pairs det_seg 0 det_cnt 0 seg_cnt 0
[main] epoch 1/150 step 48 | loss 40715.1926 | w [15.0, 8.0, 1.0] | train det 0.5381 seg 0.7436 cnt 40701.1719 | pairs det_seg 0 det_cnt 0 seg_cnt 0
[main] epoch 1/150 step 49 | loss 40703.2492 | w [15.0, 8.0, 1.0] | train det 1.0547 seg 0.6434 cnt 40682.2812 | pairs det_seg 0 det_cnt 0 seg_cnt 0
[main] epoch 1/150 step 50 | loss 40192.0912 | w [15.0, 8.0, 1.0] | train det 0.5454 seg 0.7504 cnt 40177.9062 | pairs det_seg 0 det_cnt 0 seg_cnt 0
[main] epoch 1/150 step 51 | loss 36963.9535 | w [15.0, 8.0, 1.0] | train det 0.4202 seg 2.0309 cnt 36941.4023 | pairs det_seg 0 det_cnt 0 seg_cnt 0
[main] epoch 1/150 step 52 | loss 38299.6908 | w [15.0, 8.0, 1.0] | train det 0.4113 seg 0.8161 cnt 38286.9922 | pairs det_seg 0 det_cnt 0 seg_cnt 0
[main] epoch 1/150 step 53 | loss 32984.0572 | w [15.0, 8.0, 1.0] | train det 0.5179 seg 1.0760 cnt 32967.6797 | pairs det_seg 0 det_cnt 0 seg_cnt 0
[main] epoch 1/150 step 54 | loss 29488.1622 | w [15.0, 8.0, 1.0] | train det 1.0859 seg 0.8184 cnt 29465.3262 | pairs det_seg 0 det_cnt 0 seg_cnt 0
[main] epoch 1/150 step 55 | loss 30704.2798 | w [15.0, 8.0, 1.0] | train det 0.2821 seg 0.9430 cnt 30692.5039 | pairs det_seg 0 det_cnt 0 seg_cnt 0
[main] epoch 1/150 step 56 | loss 24690.6641 | w [15.0, 8.0, 1.0] | train det 0.4553 seg 1.0021 cnt 24675.8184 | pairs det_seg 0 det_cnt 0 seg_cnt 0
[main] epoch 1/150 step 57 | loss 26012.4752 | w [15.0, 8.0, 1.0] | train det 0.6002 seg 1.2857 cnt 25993.1855 | pairs det_seg 0 det_cnt 0 seg_cnt 0
[main] epoch 1/150 step 58 | loss 22687.7518 | w [15.0, 8.0, 1.0] | train det 0.5267 seg 0.5031 cnt 22675.8262 | pairs det_seg 0 det_cnt 0 seg_cnt 0
[main] epoch 1/150 step 59 | loss 21092.4872 | w [15.0, 8.0, 1.0] | train det 0.8915 seg 1.1613 cnt 21069.8242 | pairs det_seg 0 det_cnt 0 seg_cnt 0
[main] epoch 1/150 step 60 | loss 20298.0709 | w [15.0, 8.0, 1.0] | train det 0.2508 seg 0.8135 cnt 20287.8008 | pairs det_seg 0 det_cnt 0 seg_cnt 0
[main] epoch 1/150 step 61 | loss 19584.8120 | w [15.0, 8.0, 1.0] | train det 0.6000 seg 0.8339 cnt 19569.1406 | pairs det_seg 0 det_cnt 0 seg_cnt 0
[main] epoch 1/150 step 62 | loss 16617.9867 | w [15.0, 8.0, 1.0] | train det 0.4242 seg 0.8780 cnt 16604.5996 | pairs det_seg 0 det_cnt 0 seg_cnt 0
[main] epoch 1/150 step 63 | loss 16219.7613 | w [15.0, 8.0, 1.0] | train det 0.4604 seg 1.2393 cnt 16202.9414 | pairs det_seg 0 det_cnt 0 seg_cnt 0
[main] epoch 1/150 step 64 | loss 17070.3944 | w [15.0, 8.0, 1.0] | train det 0.5493 seg 0.6114 cnt 17057.2637 | pairs det_seg 0 det_cnt 0 seg_cnt 0
